set.name	set.size	overlap	p.val	q.val
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	20	1	0.2720033224327173	0.6542582358203581
KEGG_REGULATION_OF_AUTOPHAGY	20	1	0.2720033224327173	0.6542582358203581
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	52	3	0.273207709423096	0.6542582358203581
KEGG_GNRH_SIGNALING_PATHWAY	86	5	0.27437506632923575	0.6542582358203581
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	69	4	0.27538882006626425	0.6542582358203581
KEGG_FATTY_ACID_METABOLISM	36	2	0.2779644876335696	0.6542582358203581
KEGG_ACUTE_MYELOID_LEUKEMIA	53	3	0.28478013094233406	0.6542582358203581
KEGG_BETA_ALANINE_METABOLISM	21	1	0.2913072693342542	0.6542582358203581
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	21	1	0.2913072693342542	0.6542582358203581
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	37	2	0.2921289639688176	0.6542582358203581
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	71	4	0.2954714613382262	0.6542582358203581
KEGG_PYRIMIDINE_METABOLISM	90	5	0.3103815625649076	0.6716467749748553
KEGG_MISMATCH_REPAIR	22	1	0.3105463583217073	0.6716467749748553
KEGG_BLADDER_CANCER	39	2	0.3205838460937846	0.6767986212095292
KEGG_O_GLYCAN_BIOSYNTHESIS	23	1	0.3296770810785006	0.6767986212095292
KEGG_DORSO_VENTRAL_AXIS_FORMATION	23	1	0.3296770810785006	0.6767986212095292
KEGG_NUCLEOTIDE_EXCISION_REPAIR	40	2	0.3348323944450651	0.6767986212095292
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	40	2	0.3348323944450651	0.6767986212095292
KEGG_FOLATE_BIOSYNTHESIS	8	0	0.3426185013640928	0.6767986212095292
KEGG_STEROID_HORMONE_BIOSYNTHESIS	24	1	0.3486604993654363	0.6767986212095292
KEGG_ALLOGRAFT_REJECTION	24	1	0.3486604993654363	0.6767986212095292
KEGG_ECM_RECEPTOR_INTERACTION	77	4	0.35690364764466703	0.6767986212095292
KEGG_COLORECTAL_CANCER	60	3	0.36711496354501594	0.6767986212095292
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	25	1	0.36746189550211483	0.6767986212095292
KEGG_TIGHT_JUNCTION	115	6	0.37178580379507487	0.6767986212095292
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	9	0	0.3762372910902507	0.6767986212095292
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	9	0	0.3762372910902507	0.6767986212095292
KEGG_LONG_TERM_DEPRESSION	61	3	0.3789257509476788	0.6767986212095292
KEGG_GRAFT_VERSUS_HOST_DISEASE	26	1	0.3860504463574729	0.6767986212095292
KEGG_PRIMARY_IMMUNODEFICIENCY	26	1	0.3860504463574729	0.6767986212095292
KEGG_RIBOSOME	80	4	0.3878965188532262	0.6767986212095292
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	44	2	0.39152593525694324	0.6767986212095292
KEGG_ARGININE_AND_PROLINE_METABOLISM	44	2	0.39152593525694324	0.6767986212095292
KEGG_PARKINSONS_DISEASE	100	5	0.40287849811749	0.6767986212095292
KEGG_CITRATE_CYCLE_TCA_CYCLE	27	1	0.4043989193773325	0.6767986212095292
KEGG_HOMOLOGOUS_RECOMBINATION	27	1	0.4043989193773325	0.6767986212095292
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10	0	0.40814446135868887	0.6767986212095292
KEGG_PROSTATE_CANCER	82	4	0.40852593721368236	0.6767986212095292
KEGG_CARDIAC_MUSCLE_CONTRACTION	64	3	0.41419607764274424	0.6767986212095292
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	64	3	0.41419607764274424	0.6767986212095292
KEGG_MTOR_SIGNALING_PATHWAY	46	2	0.4194590033946395	0.6767986212095292
KEGG_RNA_POLYMERASE	28	1	0.42248338926485096	0.6767986212095292
KEGG_OXIDATIVE_PHOSPHORYLATION	103	5	0.4307114829892392	0.6767986212095292
KEGG_OLFACTORY_TRANSDUCTION	47	2	0.4332706300589094	0.6767986212095292
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	66	3	0.43748027136775525	0.6767986212095292
KEGG_RENIN_ANGIOTENSIN_SYSTEM	11	0	0.4384267649211677	0.6767986212095292
KEGG_JAK_STAT_SIGNALING_PATHWAY	104	5	0.4399503737482844	0.6767986212095292
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	29	1	0.4402829740126507	0.6767986212095292
KEGG_VEGF_SIGNALING_PATHWAY	67	3	0.44902736327979476	0.6842375230774295
KEGG_AUTOIMMUNE_THYROID_DISEASE	30	1	0.4577795890634966	0.6842375230774295
KEGG_ENDOMETRIAL_CANCER	49	2	0.4605211214455056	0.6842375230774295
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	12	0	0.46716657728824884	0.6842375230774295
KEGG_NON_HOMOLOGOUS_END_JOINING	12	0	0.46716657728824884	0.6842375230774295
KEGG_RETINOL_METABOLISM	31	1	0.47495771844997925	0.6842375230774295
KEGG_BASE_EXCISION_REPAIR	31	1	0.47495771844997925	0.6842375230774295
KEGG_TRYPTOPHAN_METABOLISM	32	1	0.49180420183293616	0.6842375230774295
KEGG_PEROXISOME	71	3	0.49440203957911266	0.6842375230774295
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	13	0	0.494442116590725	0.6842375230774295
KEGG_RIBOFLAVIN_METABOLISM	13	0	0.494442116590725	0.6842375230774295
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	13	0	0.494442116590725	0.6842375230774295
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13	0	0.494442116590725	0.6842375230774295
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	52	2	0.5003027050458624	0.6842375230774295
KEGG_BASAL_CELL_CARCINOMA	52	2	0.5003027050458624	0.6842375230774295
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	14	0	0.5203276524479787	0.6962657795347053
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	14	0	0.5203276524479787	0.6962657795347053
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	14	0	0.5203276524479787	0.6962657795347053
KEGG_DNA_REPLICATION	34	1	0.5244601928360915	0.6967828276250929
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	35	1	0.5402534439741823	0.7126747558808362
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	0	0.5448937043904121	0.7137340071592722
KEGG_WNT_SIGNALING_PATHWAY	137	6	0.555520783259934	0.7172843567307832
KEGG_SPHINGOLIPID_METABOLISM	36	1	0.5556822061118656	0.7172843567307832
KEGG_RNA_DEGRADATION	57	2	0.5631159231015268	0.7172843567307832
KEGG_SPLICEOSOME	118	5	0.5646029449329742	0.7172843567307832
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16	0	0.5682072303559826	0.7172843567307832
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	37	1	0.5707423913771823	0.7172843567307832
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	58	2	0.5750964088935512	0.7179055842563793
KEGG_AXON_GUIDANCE	120	5	0.5813753798958397	0.7209054710708411
KEGG_ASTHMA	17	0	0.5903318057551108	0.7271636812612623
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	60	2	0.5984376711028784	0.7322987291127327
KEGG_DILATED_CARDIOMYOPATHY	82	3	0.609836313488244	0.7383569454851486
KEGG_LINOLEIC_ACID_METABOLISM	18	0	0.6113277935737251	0.7383569454851486
KEGG_LEISHMANIA_INFECTION	62	2	0.6209311757768423	0.7431239888074331
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	41	1	0.6272605711976721	0.7431239888074331
KEGG_GLYCEROLIPID_METABOLISM	41	1	0.6272605711976721	0.7431239888074331
KEGG_ENDOCYTOSIS	169	7	0.6401832720440267	0.7464804107219423
KEGG_HEMATOPOIETIC_CELL_LINEAGE	64	2	0.6425584172708071	0.7464804107219423
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	20	0	0.6501603577255626	0.7464804107219423
KEGG_NITROGEN_METABOLISM	20	0	0.6501603577255626	0.7464804107219423
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	20	0	0.6501603577255626	0.7464804107219423
KEGG_GALACTOSE_METABOLISM	21	0	0.6681030121451281	0.7531343045999626
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	21	0	0.6681030121451281	0.7531343045999626
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	21	0	0.6681030121451281	0.7531343045999626
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	89	3	0.6743299990057123	0.7549801428073524
KEGG_NOTCH_SIGNALING_PATHWAY	45	1	0.6778585153162788	0.7549801428073524
KEGG_PROTEIN_EXPORT	22	0	0.6851295194700529	0.7585362536989871
KEGG_CELL_ADHESION_MOLECULES_CAMS	113	4	0.6928139183303368	0.7625052592274713
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	49	1	0.7227445198901138	0.7907675335268305
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	73	2	0.7290131371213782	0.7929616579214991
KEGG_STARCH_AND_SUCROSE_METABOLISM	26	0	0.7449708124582135	0.803691396236901
KEGG_PURINE_METABOLISM	143	5	0.7475194169300208	0.803691396236901
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	76	2	0.7539373529062865	0.8059330324170648
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	28	0	0.7704988552064929	0.8142771992523163
KEGG_PRION_DISEASES	28	0	0.7704988552064929	0.8142771992523163
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	29	0	0.7822922795348444	0.8174514831094442
KEGG_THYROID_CANCER	29	0	0.7822922795348444	0.8174514831094442
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	81	2	0.7913663670765946	0.8199317847200426
KEGG_BASAL_TRANSCRIPTION_FACTORS	30	0	0.7934823723097185	0.8199317847200426
KEGG_LYSOSOME	110	3	0.8219626132339923	0.844668762770843
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	34	0	0.8328010723670276	0.8511043926388303
KEGG_PYRUVATE_METABOLISM	35	0	0.8414054143785819	0.8551989457618373
KEGG_LYSINE_DEGRADATION	42	0	0.8904751051354617	0.900154182365195
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	123	2	0.9556046475765518	0.9600324058910626
KEGG_VIRAL_MYOCARDITIS	61	0	0.9600324058910626	0.9600324058910626
